代號,公司,股價,(年)每股淨值(元),(年)股東權益報酬率(ROE)(%),(年)每股稅後淨利(EPS)(元),合理股價,現金殖利率(%),以5年平均現金股利換算殖利率(%),配息,(年-1)配息,(年-2)配息,(年-3)配息,(年-4)配息,(年-5)配息
1104,環泥,26.8,32.48,10.62,3.13,34.49,6.72,4.78,1.8,1,1.1,1,1,1.2
1108,幸福,13.0,12.53,10.57,1.3,13.24,7.69,5,1,0.6,0.7,0.15,0,0.6
1109,信大,15.95,23.79,8.22,2.01,19.56,7.52,7.65,1.2,1.503513,1.5,1.1,0.8,0.1
1256,鮮活-KY,111.0,111.8,11.45,12.41,128.01,5.95,7.98,6.6,13,12,6.2,6.2,4.2
1294,漢田生技,81.7,20.56,44.04,7.66,90.55,0,0.73,0,0,0,0,0,0
1339,昭輝,45.55,53.23,11.01,5.88,58.61,6.59,5.27,3,2,2,2,2,2
1440,南紡,11.5,17.78,7.59,1.27,13.5,3.04,3.57,0.35,0.8,0.35,0.2,0.4,0.32
1445,大宇,12.7,20.62,46.61,7.72,96.11,19.69,4.72,2.5,0,0.2,0.20306276,0.2,0.3
1457,宜進實,18.2,24.74,11.6,2.55,28.7,5.49,5.49,1,1,1,1,0.7,0.5
1475,本盟,44.55,19.12,24.47,7.9,46.79,4.49,1.12,2,0,0,0,0,0
1532,勤美,25.25,35.07,7.73,2.56,27.11,5.98,5.35,1.51,2.11,1.03,0.92184663,2.7,1.7
1580,新麥,126.5,56.87,22.38,12.01,127.28,7.11,5.34,9,7,6.79,5,6.5,8.5
1583,程泰,50.3,50.12,11.67,6.46,58.49,7.95,6.16,4,2.5,3,3,3,1
1584,精剛,27.6,19.2,17.18,3.01,32.99,5.43,1.74,1.5,0.2,0,0,0,0
1603,華電,28.6,40.63,7.65,2.99,31.08,4.55,2.31,1.3,0.5,0.5,0.5,0.5,0.5
1609,大亞,32.3,19.55,21.65,3.91,42.33,3.72,1.67,1.2,0.35,0.35,0.30279865,0.3,0
1718,中纖,6.03,15.62,4.68,-1.18,7.31,0,0.33,0,0,0.1,0,0.1,0
1762,中化合成,26.1,43.2,8.1,3.42,34.99,3.07,4.37,0.8,1.3,1.5,0.8,1.2,0.5
1808,潤隆,31.05,29.96,78.85,17.08,236.23,9.66,5.02,3,2,0.2,2,8,5.07487174
2006,東和鋼,63.7,42.52,15.68,6.48,66.67,6.59,5.32,4.2,6.4,1.5,1.35,1.2,1.3
2008,高興昌,23.8,18.06,13.82,2.24,24.96,4.2,1.3,1,0,0,0,0,0
2020,美亞鋼,23.55,18.28,29.39,4.8,53.72,8.49,8.11,2,3,1.7,1.85,1.4,0.8
2031,新光鋼,40.4,35.31,15.64,5.15,55.22,7.43,5.32,3,4,1.91973251,0.80911495,1.5,1.8
2063,世鎧,30.7,21.71,23.97,4.95,52.04,4.89,6.19,1.5,1.5,1,2.5,3,1.2
2065,世豐,40.0,31.73,16.33,5.12,51.82,1.24,3.98,0.49619673,1.5,1.13677507,0.96615817,2.7,3
2066,世德,73.8,45.69,17.76,8.08,81.15,5.12,3.93,3.77751226,2,1.7,2.32244946,3,5
2201,裕隆,34.8,56.39,10.53,4.63,59.38,4.02,2.82,1.4,1.5,1,0,0.67,0.5
2204,中華,60.8,64.7,15.68,10.36,101.45,9.87,7.4,6,5.5,7,0,1.7,1.6
2206,三陽,66.1,28.27,29.2,7.95,82.55,4.54,2.54,3,1.30024452,1.3088629,1.01008869,1,1.03381824
2211,長榮鋼,81.3,58.28,16.41,8.8,95.64,8,4.58,6.5,3,2.09157486,2,0,0
2303,聯電,41.7,28.67,17.68,4.93,50.69,7.19,5.76,3,3,1.5998882,0.80395653,0.58989396,0.5
2316,楠梓電,33.65,48.97,9.87,4.61,48.33,1.49,2.38,0.5,1,1.5,0.5,1,0
2323,中環,7.39,16.96,9.86,1.61,16.72,9.2,4.6,0.68,0.1,0.7,0.2,0,0
2327,國巨,427.5,321.19,13.6,41.8,436.82,4.67,2.96,19.97238355,10.10281345,10.08131421,13.06165475,44.83489486,3
2331,精英,14.65,21.61,8.59,1.82,18.56,6.83,3.82,1,0,1.0014667,0,0,0
2387,精元,51.0,48.64,11.92,6.5,57.98,5.88,4.9,3,3,2,1,1.00536182,0.48452968
2482,連宇,17.55,17.19,15.01,2.4,25.8,5.7,2.85,1,0,0,0,0,0.32
2488,漢平,43.05,30.88,14.62,4.39,45.15,6.5,4.79,2.8,1.2,1.5,2.3,2.5,3.5
2514,龍邦,16.5,31.92,6.47,2.44,20.65,0,0.3,0,0,0,0,0.25,0.35388666
2520,冠德,48.0,36.87,13.66,4.42,50.36,3.75,4.15,1.8,2.5,2.4,1.5,1,1.1
2538,基泰,12.25,13.72,26.49,0.94,36.34,5.71,4.08,0.7,0.5,0.5,0.5,0.6,1
2542,興富發,38.9,25.47,16.61,1.33,42.31,1.29,4.11,0.5,4.00650848,2.00470838,1,4.5,5
2546,根基,75.1,39.81,22.03,8.2,87.7,5.33,4.62,4,2.6,3.6,3,3,1.5
2548,華固,101.0,75.1,17.79,12.95,133.6,7.43,7.33,7.5,7.5,7,7.5,5,5.6
2608,大榮,34.65,26.57,14.53,3.63,38.61,7.5,5.22,2.6,1.65,1.68,1.45,1.56,1.5
2611,志信,17.85,15.88,15.99,2.48,25.39,12.89,3.7,2.3,1,0,0,0.41465929,0
2617,台航,25.3,38.27,10.5,3.98,40.18,6.32,6.4,1.6,2,0.9,0.8,1.3,0
2618,長榮航,36.75,19.81,21.67,4.01,42.93,4.9,1.88,1.8,0.5916945,0,0.25,0.49727797,0.2
2636,台驊,62.2,62.93,17.24,10.76,108.49,4.82,7.67,3,13,3.01565284,1.31770652,2.2,0.8
2643,捷迅,67.0,53.06,13.84,7.53,73.44,7.46,7.46,5,5,4,2,2,2.2874571
2718,晶悅,54.9,27.04,34.88,7.9,94.32,5.46,0.07,3,0,0,0,0,0.5
2731,雄獅,112.0,40.0,54.64,15.21,218.56,7.14,1.79,8,0,0,2,3.8,4
2739,寒舍,36.6,11.68,43.47,4.52,50.77,0,0.55,0,0,0,1,1,2.2
2743,山富,74.7,24.7,48.62,9.66,120.09,4.02,1.02,3,0,0,0.8,0,0
2745,五福,80.9,19.62,57.43,7.87,112.68,4.33,0.07,3.5,0,0,0.3,0.3,0.29654184
2809,京城銀,46.25,45.1,13.42,5.59,60.52,6.49,4.11,3,2.1,1.8,1.5,1.5,1.5
2816,旺旺保,27.75,27.28,22.01,5.37,60.04,0,1.95,0,1,0.8,0.88,0.9,0
2851,中再保,25.45,23.81,11.59,2.61,27.6,5.5,4.24,1.4,1.8,1.3,0.9,0.9,0.5
2903,遠東百,22.2,22.23,10.16,1.95,22.59,7.21,4.95,1.6,0.9,1.1,0.8,0.85,0.7
2915,潤泰全,53.1,89.96,8.4,7.19,75.57,4.71,6.21,2.5,5,2,5,5.5,0.79
2916,滿心,47.65,20.83,22.99,4.61,47.89,8.39,4.95,4,2.2,1.5,1.1,1.4,0.7
2948,寶陞,42.05,36.24,12.18,4.26,44.14,6.18,5.04,2.6,3,2,0,0,0
3010,華立,86.3,78.63,11.89,8.96,93.49,6.03,5.98,5.2,6.8,4.4,3.3,3.2,2.6
